name,disposition,price,in stock, picture filename
Maxiboards for all different Topaz models,new,"$2,000 (usd)",8,
Mirror Motor for Herkules Pro,new,"$3,500 (usd)",1,
Topsetter / PlateRite punch sets,new,"$1,900 (usd)",8,
Prosetter Punch sets,new,"$1,900 (usd)",5,
Nexscan Power Supplies,new,$    600 (usd),7,Nexscan PWR SUPP.jpg
Gas Springs for Topaz lid,new,$      39 (usd),20,
Mirror Motor for Primesetter,used,"$5,500 (usd)",2,
Print Rapro Boards for Delta Tower,new,$    900 (usd),10,
ISP-1 boards for Delta Tower,new,$    900 (usd),4,
EC-Controller boards for Herkules Classic,new,"$1,500 (usd)",8,4577736.jpg
NEW Laser Diodes for 32-Channel Thermal Head,new,"$1,500 (usd)",unlimited,
Brand new Gretag D200 II Film Densitometer,new,$    900 (usd),3,Brand new Gretag D200 II.jpg
Primesetter Compressor,used,$    800 (usd),1,Primesetter Compressor.JPG
